Date,Fecha_Objetivo,close,Close_Siguiente,Objetivo,Logistica_probabilidad,Logistica_clase,Base_mayoritaria_probabilidad,Base_mayoritaria_clase,PyTorch_MLP_probabilidad,PyTorch_MLP_clase,Keras_LSTM_probabilidad,Keras_LSTM_clase
2022-12-22,2022-12-23,8.95,9.279999732971191,1,0.46795666,0,0.0,0,0.4693441,0,0.49648213,0
2022-12-23,2022-12-27,9.28,9.359999656677246,1,0.4884079,0,0.0,0,0.4703398,0,0.5046197,1
2022-12-27,2022-12-28,9.36,9.630000114440918,1,0.48440814,0,0.0,0,0.47466734,0,0.5060551,1
2022-12-28,2022-12-29,9.63,9.609999656677246,0,0.5177875,1,0.0,0,0.46611592,0,0.5083694,1
2022-12-29,2022-12-30,9.61,9.729999542236328,1,0.49383423,0,0.0,0,0.46760356,0,0.4988554,0
2022-12-30,2023-01-03,9.73,9.550000190734863,0,0.516716,1,0.0,0,0.47349885,0,0.4946686,0
2023-01-03,2023-01-04,9.55,9.890000343322754,1,0.5156881,1,0.0,0,0.46408433,0,0.48202267,0
2023-01-04,2023-01-05,9.89,10.5600004196167,1,0.5085214,1,0.0,0,0.46946847,0,0.4832886,0
2023-01-05,2023-01-06,10.56,11.100000381469728,1,0.5452443,1,0.0,0,0.47627762,0,0.48937467,0
2023-01-06,2023-01-09,11.1,11.399999618530272,1,0.5529406,1,0.0,0,0.47649094,0,0.48354766,0
2023-01-09,2023-01-10,11.4,11.579999923706056,1,0.49277925,0,0.0,0,0.4849689,0,0.47358575,0
2023-01-10,2023-01-11,11.58,12.390000343322754,1,0.45550296,0,0.0,0,0.48721877,0,0.46313035,0
2023-01-11,2023-01-12,12.39,12.850000381469728,1,0.54867,1,0.0,0,0.49457026,0,0.46919027,0
2023-01-12,2023-01-13,12.85,13.039999961853027,1,0.4987688,0,0.0,0,0.49504238,0,0.45499435,0
2023-01-13,2023-01-17,13.04,13.760000228881836,1,0.53788626,1,0.0,0,0.4956365,0,0.4499793,0
2023-01-17,2023-01-18,13.76,12.399999618530272,0,0.5534485,1,0.0,0,0.5023564,1,0.450536,0
2023-01-18,2023-01-19,12.4,12.890000343322754,1,0.40769142,0,0.0,0,0.47770366,0,0.44396693,0
