termino,tfidf_medio,frecuencia
universities,0.0012042062087176688,1
commitments,0.0012042062087176688,1
shared,0.0012042062087176688,1
municipal,0.0012042062087176688,1
together,0.0012042062087176688,1
led,0.0012042062087176688,1
transition,0.0012042062087176688,1
ngos,0.0012042062087176688,1
installation,0.0012042062087176688,1
innovative,0.0012042062087176688,1
organizer,0.0012042062087176688,1
towards,0.0012042062087176688,1
mujer,0.0012042062087176688,1
low,0.0012042062087176688,1
outreach,0.0012042062087176688,1
area,0.0012042062087176688,1
gli,0.0012042062087176688,1
drive,0.0012042062087176688,1
invest,0.0012042062087176688,1
change,0.0012042062087176688,1
placed,0.0012042062087176688,1
photovoltaic,0.0012042062087176688,1
discuss,0.0012042062087176688,1
challenges,0.0012042062087176688,1
buildings,0.0012042062087176688,1
centers,0.0012042062087176688,1
require,0.0012042062087176688,1
networks,0.0012042062087176688,1
america,0.0012042062087176688,1
idb,0.0012042062087176688,1
hashtag,0.0012042062087176688,1
economy,0.0012042062087176688,1
edition,0.0012042062087176688,1
agent,0.0012042062087176688,1
gender,0.0012042062087176688,1
metropolitan,0.0012042062087176688,1
exclusive,0.0012042062087176688,1
social,0.0012042062087176688,1
fove,0.0012042062087176688,1
foroglilatam,0.0012042062087176688,1
scientific,0.0012042062087176688,1
applied,0.0012042062087176688,1
enable,0.0012042062087176688,1
forum,0.0012042062087176688,1
more,0.0012042062087176688,1
met,0.0012042062087176688,1
modules,0.0012042062087176688,1
conversations,0.0012042062087176688,1
justified,0.0011821530438673648,1
would,0.0011688488654720967,1
valued,0.0011688488654720967,1
certificates,0.0011688488654720967,1
brokerage,0.0011688488654720967,1
requirements,0.0011688488654720967,1
trust,0.0011688488654720967,1
participation,0.0011688488654720967,1
instead,0.0011688488654720967,1
resulting,0.0011688488654720967,1
excludes,0.0011688488654720967,1
complies,0.0011688488654720967,1
constitutes,0.0011688488654720967,1
twelve,0.0011688488654720967,1
accumulated,0.000947701338127217,1
whose,0.000947701338127217,1
upon,0.000947701338127217,1
align,0.000947701338127217,1
also,0.000947701338127217,1
terminated,0.000947701338127217,1
terminating,0.000947701338127217,1
these,0.000947701338127217,1
subscribed,0.000947701338127217,1
such,0.000947701338127217,1
suspended,0.000947701338127217,1
suspension,0.000947701338127217,1
standards,0.000947701338127217,1
state,0.000947701338127217,1
section,0.000947701338127217,1
sell,0.000947701338127217,1
settlement,0.000947701338127217,1
secondary,0.000947701338127217,1
arrangement,0.000947701338127217,1
round,0.000947701338127217,1
rules,0.000947701338127217,1
transfers,0.000947701338127217,1
treasury,0.000947701338127217,1
reported,0.000947701338127217,1
rescinded,0.000947701338127217,1
recognizes,0.000947701338127217,1
basel,0.000947701338127217,1
remaining,0.000947701338127217,1
primarily,0.000947701338127217,1
proportional,0.000947701338127217,1
capitalizable,0.000947701338127217,1
possibility,0.000947701338127217,1
own,0.000947701338127217,1
paid,0.000947701338127217,1
offer,0.000947701338127217,1
operation,0.000947701338127217,1
close,0.000947701338127217,1
modified,0.000947701338127217,1
local,0.000947701338127217,1
holders,0.000947701338127217,1
according,0.000947701338127217,1
